student_id,course_name,course_id,final_result,score,letter_grade
1001,READING AND WRITING SKILLS-I,ENGL141,Pass,78,C
1001,GENERAL PHYSICS-I,PHYS101,Pass,70,C
1001,TURKISH,TURK100,Withdrawn,#N/A,Withdrawn
1001,LINEAR ALGEBRA,MATH121,Pass,72,C
1001,INTRODUCTION TO ARTIFICIAL INTELIGENCE ENGINEERING,AIEN100,Pass,69,D
1001,CALCULUS-I,MATH101,Pass,79,C
1001,INTRODUCTION TO PROGRAMMING,CMPE111,Pass,70,C
1001,READING AND WRITING SKILLS-II,ENGL142,Pass,72,C
1001,GENERAL PHYSICS-II,PHYS102,Pass,72,C
1001,HISTORY OF CIVILIZATION,HIST100,Pass,71,C
1001,DISCRETE MATHEMATICS,MATH122,Pass,68,D
1001,ALGORITHMS AND PROGRAMMING,CMPE124,Pass,73,C
1001,CALCULUS-II,MATH102,Pass,67,D
1001,DIGITAL LOGIC DESIGN,CMPE221,Pass,73,C
1001,INTRODUCTION TO PROBABILITY AND STATISTICS,MATH205,Pass,83,B
1001,DIFFERENTIAL EQUATIONS,MATH203,Withdrawn,66,D
1001,PRINCIPLES OF ARTIFICIAL INTELLIGENCE,AIEN201,Pass,59,F
1001,UNIVERSITY ELECTIVE (INTRODUCTION TO COMPUTING),CMPE101,Pass,82,B
1001,VISUAL PROGRAMMING,CMPE214,Fail,60,D
1001,FREE ELECTIVE (DATA STRUCTURES AND DATA ORGANIZATION),CMPE242,Pass,67,D
1001,FREE ELECTIVE (ENGINEERING ECONOMY),INDE232,Pass,73,C
1001,INTRODUCTION TO DATA SCIENCE,AIEN202,Pass,75,C
1001,MATHEMATICAL METHODS FOR ENGINEERS,MATH202,Withdrawn,74,C
1001,DATABASE MANAGEMENT SYSTEMS AND PROGRAMMING-I,CMPE343,Pass,62,D
1001,OPERATING SYSTEMS,CMPE351,Pass,63,D
1001,SIGNALS & SYSTEMS,EELE321,Pass,84,B
1001,PROGRAMMING FOR ARTIFICIAL INTELLIGENCE,AIEN301,Pass,80,B
1001,AREA ELECTIVE (INDUSTRIAL AUTOMATION ),ENGI415,Pass,76,C
1001,SIGNAL AND IMAGE PROCESSING,CMPE326,Pass,85,B
1001,FUNDAMENTALS OF COMPUTER NETWORKS,CMPE332,Withdrawn,67,D
1001,FREE ELECTIVE (PHYSIOLOGICAL SIGNALS AND INSTRUMENTATION),BIME302,Pass,57,F
1001,AREA ELECTIVE (OBJECT ORIENTED PROGRAMMING),CMPE313,Pass,66,D
1001,MACHINE LEARNING,AIEN302,Pass,80,B
1001,ROBOTICS,EELE411,Pass,81,B
1001,PROJECT MANAGEMENT,ENGI401,Pass,66,D
1001,FUNDAMENTALS OF NEURAL NETWORKS,AIEN421,Pass,74,C
1001,AREA ELECTIVE (ETHICS),INDE335,Pass,76,C
1001,SUMMER TRAINING,AIEN300,Pass,72,C
1001,UNIVERSITY ELECTIVE (JOURNALISM CASE STUDIES),JOUR450,Pass,73,C
1001,CAPSTONE PROJECT,ENGI402,Pass,75,C
1001,NATURAL LANGUAGE PROCESSING,AIEN422,Pass,69,D
1001,AREA ELECTIVE (BIOINFORMATICS),BIOE305,Withdrawn,85,B
1001,AREA ELECTIVE (INTRODUCTION TO HUMAN-COMPUTER INTERACTION),ISYE427,Pass,63,D
1001,UNIVERSITY ELECTIVE (FILM ANALYSIS),RTVC342,Distinction,87,B
1001,#REF!,0,Withdrawn,#N/A,#N/A
1002,READING AND WRITING SKILLS-I,ENGL141,Withdrawn,78,C
1002,GENERAL PHYSICS-I,PHYS101,Pass,70,C
1002,TURKISH,TURK100,Pass,#N/A,Pass
1002,LINEAR ALGEBRA,MATH121,Withdrawn,72,C
1002,INTRODUCTION TO ARTIFICIAL INTELIGENCE ENGINEERING,AIEN100,Pass,69,D
1002,CALCULUS-I,MATH101,Pass,79,C
1002,INTRODUCTION TO PROGRAMMING,CMPE111,Pass,70,C
1002,READING AND WRITING SKILLS-II,ENGL142,Fail,72,C
1002,GENERAL PHYSICS-II,PHYS102,Fail,72,C
1002,HISTORY OF CIVILIZATION,HIST100,Withdrawn,71,C
1002,DISCRETE MATHEMATICS,MATH122,Withdrawn,68,D
1002,ALGORITHMS AND PROGRAMMING,CMPE124,Pass,73,C
1002,CALCULUS-II,MATH102,Pass,67,D
1002,DIGITAL LOGIC DESIGN,CMPE221,Pass,73,C
1002,INTRODUCTION TO PROBABILITY AND STATISTICS,MATH205,Withdrawn,83,B
1002,DIFFERENTIAL EQUATIONS,MATH203,Pass,66,D
1002,PRINCIPLES OF ARTIFICIAL INTELLIGENCE,AIEN201,Withdrawn,59,F
1002,UNIVERSITY ELECTIVE (INTRODUCTION TO COMPUTING),CMPE101,Pass,82,B
1002,VISUAL PROGRAMMING,CMPE214,Pass,60,D
1002,FREE ELECTIVE (DATA STRUCTURES AND DATA ORGANIZATION),CMPE242,Pass,67,D
1002,FREE ELECTIVE (ENGINEERING ECONOMY),INDE232,Pass,73,C
1002,INTRODUCTION TO DATA SCIENCE,AIEN202,Pass,75,C
1002,MATHEMATICAL METHODS FOR ENGINEERS,MATH202,Pass,74,C
1002,DATABASE MANAGEMENT SYSTEMS AND PROGRAMMING-I,CMPE343,Pass,62,D
1002,OPERATING SYSTEMS,CMPE351,Pass,63,D
1002,SIGNALS & SYSTEMS,EELE321,Fail,84,B
1002,PROGRAMMING FOR ARTIFICIAL INTELLIGENCE,AIEN301,Pass,80,B
1002,AREA ELECTIVE (INDUSTRIAL AUTOMATION ),ENGI415,Withdrawn,76,C
1002,SIGNAL AND IMAGE PROCESSING,CMPE326,Pass,85,B
1002,FUNDAMENTALS OF COMPUTER NETWORKS,CMPE332,Pass,67,D
1002,FREE ELECTIVE (PHYSIOLOGICAL SIGNALS AND INSTRUMENTATION),BIME302,Pass,57,F
1002,AREA ELECTIVE (OBJECT ORIENTED PROGRAMMING),CMPE313,Fail,66,D
1002,MACHINE LEARNING,AIEN302,Pass,80,B
1002,ROBOTICS,EELE411,Distinction,81,B
1002,PROJECT MANAGEMENT,ENGI401,Withdrawn,66,D
1002,FUNDAMENTALS OF NEURAL NETWORKS,AIEN421,Pass,74,C
1002,AREA ELECTIVE (ETHICS),INDE335,Pass,76,C
1002,SUMMER TRAINING,AIEN300,Withdrawn,72,C
1002,UNIVERSITY ELECTIVE (JOURNALISM CASE STUDIES),JOUR450,Pass,73,C
1002,CAPSTONE PROJECT,ENGI402,Withdrawn,75,C
1002,NATURAL LANGUAGE PROCESSING,AIEN422,Pass,69,D
1002,AREA ELECTIVE (BIOINFORMATICS),BIOE305,Fail,85,B
1002,AREA ELECTIVE (INTRODUCTION TO HUMAN-COMPUTER INTERACTION),ISYE427,Distinction,63,D
1002,UNIVERSITY ELECTIVE (FILM ANALYSIS),RTVC342,Fail,87,B
1002,0,0,Pass,#N/A,#N/A
1003,READING AND WRITING SKILLS-I,ENGL141,Pass,78,C
1003,GENERAL PHYSICS-I,PHYS101,Pass,70,C
1003,TURKISH,TURK100,Pass,#N/A,Pass
1003,LINEAR ALGEBRA,MATH121,Pass,72,C
1003,INTRODUCTION TO ARTIFICIAL INTELIGENCE ENGINEERING,AIEN100,Withdrawn,69,D
1003,CALCULUS-I,MATH101,Pass,79,C
